"","year","gender","agegroup","measurement","value"
"532",2003,"Female","[20:25)","circsize_hivneg",0
"533",2004,"Female","[20:25)","circsize_hivneg",0
"534",2006,"Female","[20:25)","circsize_hivneg",0
"535",2007,"Female","[20:25)","circsize_hivneg",0
"536",2009,"Female","[20:25)","circsize_hivneg",0
"537",2011,"Female","[20:25)","circsize_hivneg",0
"538",2012,"Female","[20:25)","circsize_hivneg",0
"539",2014,"Female","[20:25)","circsize_hivneg",0
"540",2016,"Female","[20:25)","circsize_hivneg",0
"541",1999,"Male","[20:25)","circsize_hivneg",72
"542",2000,"Male","[20:25)","circsize_hivneg",84
"543",2002,"Male","[20:25)","circsize_hivneg",90
"544",2003,"Male","[20:25)","circsize_hivneg",93
"545",2004,"Male","[20:25)","circsize_hivneg",98
"546",2006,"Male","[20:25)","circsize_hivneg",140
"547",2007,"Male","[20:25)","circsize_hivneg",187
"548",2009,"Male","[20:25)","circsize_hivneg",205
"549",2011,"Male","[20:25)","circsize_hivneg",252
"550",2012,"Male","[20:25)","circsize_hivneg",336
"551",2014,"Male","[20:25)","circsize_hivneg",451
"552",2016,"Male","[20:25)","circsize_hivneg",573
"553",1999,"Female","[25:30)","circsize_hivneg",0
"554",2000,"Female","[25:30)","circsize_hivneg",0
"555",2002,"Female","[25:30)","circsize_hivneg",0
"556",2003,"Female","[25:30)","circsize_hivneg",0
"557",2004,"Female","[25:30)","circsize_hivneg",0
"558",2006,"Female","[25:30)","circsize_hivneg",0
"559",2007,"Female","[25:30)","circsize_hivneg",0
"560",2009,"Female","[25:30)","circsize_hivneg",0
"561",2011,"Female","[25:30)","circsize_hivneg",0
"562",2012,"Female","[25:30)","circsize_hivneg",0
"563",2014,"Female","[25:30)","circsize_hivneg",0
"564",2016,"Female","[25:30)","circsize_hivneg",0
"565",1999,"Male","[25:30)","circsize_hivneg",63
"566",2000,"Male","[25:30)","circsize_hivneg",68
"567",2002,"Male","[25:30)","circsize_hivneg",99
"568",2003,"Male","[25:30)","circsize_hivneg",95
"569",2004,"Male","[25:30)","circsize_hivneg",101
"570",2006,"Male","[25:30)","circsize_hivneg",136
"571",2007,"Male","[25:30)","circsize_hivneg",184
"572",2009,"Male","[25:30)","circsize_hivneg",229
"573",2011,"Male","[25:30)","circsize_hivneg",286
"574",2012,"Male","[25:30)","circsize_hivneg",348
"575",2014,"Male","[25:30)","circsize_hivneg",402
"576",2016,"Male","[25:30)","circsize_hivneg",477
